,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
92,Cortese,0.6908312314346012,0.0,0.04268587052040092,0.0,0.0,0.6829187993377402,0.1943796221181552,0.0,0.0,0.0372005218041861,0.0,0.0,0.1173271023849717,0.04023772324838112,White
93,G-S-M,0.0134092252243633,0.02681845044872659,0.623065501525041,0.1401343731552257,0.1518674777967736,0.09544062765233663,0.1509184885342417,0.2337818017845674,0.3145809679326572,0.3928073935212136,0.3286176264279075,0.1911502799367192,0.2307716186149728,0.1749496749081837,Red
94,Viura,0.8835182346045226,0.09139843806253681,0.0,0.05969799993547203,0.1293927317842218,0.3011720216788401,0.01714455769068432,0.2499571711796717,0.0,0.104996437012558,0.09955049526735256,0.0,0.0,0.1277648683644197,White
95,Garnacha Tintorera,0.0,0.0,0.3264600991170311,0.2156845085092562,0.0,0.1305734990306275,0.0,0.3386538682568421,0.806966436656766,0.0,0.1348757475133212,0.2139668623441479,0.0,0.0,Red
96,Pinot Nero,0.1938663695753563,0.00807776539897318,0.5350547215374372,0.2004914421140868,0.02287137841392984,0.2874688831035479,0.2636501334427268,0.05798923381378797,0.01579205867244384,0.09047563490109257,0.3167367000359217,0.5862162200122075,0.0,0.1656133474825978,Red
97,Roter Veltliner,0.6509615816170315,0.0,0.0,0.0,0.1535943412847194,0.6435057963574191,0.0,0.0,0.3181580233720878,0.140214335477242,0.1329417162857886,0.0,0.0,0.0,White
98,Pinotage,0.0,0.1387142531621974,0.4430565774211996,0.04181672273550852,0.06042391140808037,0.03375396680585504,0.03602780073784098,0.2407456846899702,0.5632341937692796,0.2206409041935874,0.4794091730046262,0.1382790233610739,0.2609555931724936,0.1889351468105472,Red
99,Sémillon,0.3979683479085836,0.104728512607522,0.0,0.1641712800721986,0.4942137097468275,0.2153403306198153,0.09429608983194315,0.3866566920178798,0.02047445963194225,0.1082787498283254,0.2053251230048943,0.02714397827862789,0.4743075631100987,0.2732778207202285,White
100,Pinot Noir-Gamay,0.0,0.2480430686724687,0.8174063422773509,0.0,0.0,0.130774457925676,0.0,0.0,0.0,0.4986558657850254,0.06754166388785232,0.0,0.0,0.0,Red
101,Antão Vaz,0.4845841647916767,0.4845841647916767,0.0,0.0,0.0,0.383227185963079,0.0,0.1656555757371296,0.0,0.2783396074067446,0.5278054486086571,0.0,0.0,0.0,White
102,Cabernet Sauvignon-Carmenère,0.0,0.0,0.2563984596126017,0.04839898036425641,0.06993507645896793,0.1172012632590975,0.1250965192686497,0.4559576958028668,0.7243237447568224,0.03192142428628606,0.3934544632258992,0.0,0.0671182021805182,0.069055237605898,Red
103,Verdejo-Viura,0.9368722292136928,0.0,0.0,0.0,0.08038361429260664,0.2694230597131909,0.09585757594415563,0.0,0.0,0.07338118687851741,0.06957506087743565,0.0,0.1542917788688605,0.0,White
104,Verduzzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,White
105,Verdicchio,0.7725512057218532,0.0,0.0,0.0,0.01869573383516038,0.3916424586170004,0.3121256537653115,0.2844125774318417,0.0,0.03413419887777075,0.1132730571800724,0.0,0.08971349621657133,0.221526319707868,White
106,Carricante,0.7503658855451601,0.0,0.0,0.0,0.03219068728967231,0.269735117666006,0.575811615100792,0.1748954452481987,0.0,0.0,0.0,0.0,0.0,0.031785702855272,White
107,Grillo,0.4986496766996781,0.0,0.0,0.0,0.03765003442901625,0.6309611457160816,0.5612215042735774,0.1636453294909402,0.01949723608570627,0.01718512060406549,0.03258752993988333,0.0,0.07226710117040674,0.05576455060197254,Red
108,Sylvaner,0.4907382965622951,0.1509963989422446,0.0,0.0,0.3562759014792827,0.6866280271909235,0.2124297631032497,0.03871370117680817,0.07379961764322782,0.1951438641083955,0.2158591950225977,0.0,0.0,0.03517936674358568,White
109,Fiano,0.727288676643625,0.02424295588812083,0.0,0.0633383243619303,0.16016346659516,0.4793057862520965,0.3819903296892905,0.09944974120917802,0.0,0.08354926117545904,0.07921573879924654,0.0,0.1537123354569257,0.1355558424615915,White
110,Früburgunder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7501875108354429,0.6612251496929941,0.0,0.0,0.0,0.0,White
111,Sousão,0.0,0.8724599138760251,0.2875122738973637,0.0,0.2744758104592164,0.0,0.0,0.0,0.2842770136865843,0.0,0.0,0.0,0.0,0.0,Red
112,Roussanne,0.3491991707973287,0.1527746372238313,0.0,0.0,0.5561562654085248,0.2071197718916868,0.1719451866189569,0.3581222451432858,0.0,0.1128240077415738,0.2317728108810541,0.0,0.4151429104596696,0.3254277792607236,White
113,Avesso,0.2482779680856149,0.7448339042568447,0.0,0.0,0.0,0.3926949081672328,0.0,0.2546222064256793,0.0,0.0,0.4056337593534731,0.0,0.0,0.0,White
114,Cinsault,0.0,0.0665134839958093,0.5589343297843543,0.04344408993699638,0.06277540825380569,0.1841046819791425,0.1122896472820335,0.1023196511312998,0.6176619092012728,0.171920633514165,0.3260069522352483,0.3016868004487219,0.09037037113162141,0.06198564371795892,Red
115,Muscat Blanc à Petits Grains,0.6246619641626925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5381980422587146,0.0,0.0,0.5658094183002736,0.0,White
116,Monastrell,0.0,0.08288816376083318,0.3687543861338345,0.04060455818287541,0.0977872832488831,0.08193880458662628,0.0932891810142418,0.3081474827773878,0.8203611173504194,0.04463438829901433,0.1777410497699191,0.01342706525580533,0.15954256241896,0.05793422489684821,Red
117,Xarel-lo,0.7908864719279634,0.0,0.0,0.0,0.1244064064784669,0.5212187050855577,0.0,0.2703653222062207,0.0,0.0,0.0,0.0,0.1193955131724567,0.0,White
